Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
10414,24,25,
12045,26,26,
9887,35,27,
9929,23,19,
10203,31,24,
11076,40,26,
10134,34,23,
9889,21,21,
10394,24,26,
10590,32,24,
10166,36,25,
11073,25,22,
10108,38,23,
10805,25,21,
10077,33,22,
11292,41,21,
10027,24,21,
9896,24,22,
10104,35,23,
10159,21,22,
10076,23,20,
9892,22,23,
10210,22,21,
10190,24,21,
10595,26,26,
11871,36,23,
11200,41,27,
11269,34,25,
10423,35,22,
13388,25,25,
10339,40,22,
10409,24,21,
10906,25,23,
10272,23,25,
10222,36,22,
10307,31,25,
10373,23,23,
13831,34,23,
11109,41,27,
11274,25,21,
10644,34,21,
10302,24,22,
10292,28,22,
10154,25,22,
10790,22,21,
9902,23,21,
10230,22,21,
9992,38,21,
10438,40,29,
11018,22,22,
10073,35,22,
10801,23,19,
10374,38,24,
11144,23,20,
11247,34,30,
10013,48,20,
10269,34,21,
9962,22,21,
10203,33,21,
9895,22,21,
10521,31,22,
10190,21,26,
10565,36,21,
11351,22,20,
10397,38,21,
10818,36,22,
10358,36,22,
10400,39,23,
10598,35,24,
13540,38,23,
10539,23,23,
10251,23,20,
10698,34,20,
11971,34,22,
11063,23,23,
11270,25,22,
10242,37,22,
11259,23,19,
10416,36,22,
10186,21,21,
10533,26,23,
10140,29,22,
10324,25,22,
10224,23,22,
10454,37,27,
10318,23,27,
10972,36,25,
10550,34,22,
9907,22,22,
10354,23,19,
9915,33,21,
10890,67,23,
10098,23,21,
10013,25,22,
10310,25,25,
9925,22,21,
10546,32,23,
11489,32,21,
10609,41,20,
10171,35,22,
11253,41,26,
11554,25,22,
10286,37,24,
11299,22,21,
10443,36,21,
10171,27,22,
12715,40,22,
10166,24,20,
10360,32,21,
10156,20,22,
10837,21,27,
10165,23,22,
10275,39,22,
11135,24,21,
11383,38,22,
11566,24,20,
10382,38,26,
11296,40,28,
10785,23,22,
10124,22,21,
11311,25,21,
13026,35,21,
12057,21,19,
10006,21,22,
10068,23,21,
11195,32,21,
12442,34,37,
10526,34,21,
10142,39,21,
10861,24,24,
9990,22,21,
11108,24,22,
10305,38,27,
10172,22,22,
10941,24,22,
10162,21,22,
10680,24,23,
10205,34,22,
10411,26,21,
11118,25,19,
10385,37,22,
11061,31,22,
10062,32,25,
10842,27,22,
12599,32,20,
10598,33,24,
10452,40,22,
9933,21,21,
10119,36,22,
9894,19,21,
10736,25,22,
10400,23,22,
10542,22,22,
11129,37,20,
10339,23,23,
10155,21,20,
10294,38,22,
10729,27,21,
10160,36,22,
13559,36,22,
11346,21,22,
10294,27,22,
12372,36,23,
10260,25,21,
10260,25,25,
10202,36,22,
10340,25,25,
10239,34,22,
10284,26,22,
12565,24,21,
10227,37,23,
10365,37,22,
10233,33,22,
10756,37,24,
10582,23,26,
10997,37,21,
10345,22,26,
10085,39,20,
10064,22,22,
10038,32,20,
10139,39,26,
10073,29,18,
10070,27,28,
10081,37,22,
10522,33,22,
10133,25,22,
10613,37,21,
10317,39,22,
11336,25,21,
10297,35,21,
10343,40,23,
10555,23,19,
10703,39,21,
10942,23,20,
10144,38,21,
13890,43,31,
10145,30,22,
10356,39,39,
10725,24,22,
11623,37,21,
12420,38,21,
10248,34,22,
11250,26,22,
10600,31,22,
10147,40,25,
10420,38,22,
10295,24,24,
13154,26,23,
10844,24,23,
10269,37,21,
10749,31,25,
10368,42,21,
10136,41,24,
10347,34,22,
10412,37,25,
10681,23,23,
10260,24,22,
10599,24,22,
10050,38,23,
10022,34,20,
9894,24,22,
12516,38,23,
10636,20,25,
10113,34,22,
10180,36,22,
10438,25,25,
11360,42,24,
10045,25,23,
9943,23,21,
10958,24,25,
10282,54,27,
10938,27,22,
10342,36,22,
11256,36,23,
10174,34,21,
10030,35,20,
11107,35,22,
10336,26,23,
11250,24,24,
10639,36,21,
10073,23,22,
10477,31,21,
10274,23,22,
10659,22,22,
10610,37,24,
13415,43,23,
12893,33,21,
10371,22,26,
14024,34,23,
10023,21,20,
10000,35,21,
10308,23,22,
10352,40,23,
10730,23,21,
10304,24,28,
10678,35,21,
10479,41,22,
10355,35,21,
10297,21,21,
10417,36,23,
10660,25,39,
10247,21,21,
11152,24,26,
10259,23,25,
12546,35,21,
10760,26,22,
12125,45,27,
10707,26,22,
10287,36,23,
10376,24,20,
10108,34,23,
10249,34,22,
10775,40,21,
16443,37,22,
10051,25,20,
10296,21,21,
10852,26,24,
10305,21,21,
11429,38,25,
10993,27,20,
10313,24,22,
10988,34,22,
10319,25,21,
10059,21,21,
10504,23,21,
10254,22,35,
10823,26,24,
10265,26,21,
10372,37,21,
11720,38,20,
10038,37,21,
10714,31,22,
10087,24,23,
10740,22,21,
10104,24,25,
10429,22,21,
10090,25,20,
12526,22,21,
10362,28,19,
10741,42,25,
11383,25,22,
10566,26,22,
11595,44,24,
10332,26,22,
10454,36,23,
11133,24,22,
10424,45,22,
12317,36,23,
10295,25,22,
10338,26,22,
11251,36,22,
12046,36,22,
11185,25,19,
10252,23,22,
11245,23,22,
10318,23,21,
10377,24,26,
11230,38,23,
10266,37,25,
10318,38,22,
10249,34,20,
10918,21,21,
10114,24,25,
10773,20,22,
10673,25,20,
10376,40,23,
11178,34,23,
10352,29,22,
11784,24,22,
10353,25,24,
10445,36,24,
11565,40,24,
10289,25,23,
10457,40,24,
10102,24,25,
10323,22,23,
11307,23,22,
10688,23,22,
10655,22,22,
10127,26,21,
10717,23,21,
10090,22,22,
10357,35,23,
12314,38,24,
10084,25,21,
11633,31,21,
11756,32,21,
15388,26,24,
10073,24,23,
11317,23,22,
11187,64,33,
11247,39,22,
10248,23,25,
10035,32,19,
10236,35,22,
10612,32,21,
9866,24,22,
12234,41,22,
10976,27,28,
10724,36,22,
10800,21,30,
11685,34,22,
10792,23,21,
10422,38,20,
11003,28,23,
12239,38,21,
10056,37,22,
10994,22,19,
10052,35,20,
9987,35,22,
10068,35,21,
10369,22,21,
11553,25,22,
10600,39,22,
10287,39,22,
10599,35,20,
10047,28,20,
10149,39,20,
9912,22,20,
10129,33,24,
9928,24,23,
10551,37,21,
10979,29,26,
