Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
73768,502795,438171,
20644,577004,615736,
165294,206104,189108,
159946,260138,235867,
26469,762439,763971,
268948,8718,4161,
21913,548315,605946,
183472,277946,192448,
120081,375560,347458,
150241,299172,271958,
215217,133406,112247,
104330,395762,378005,
29456,908194,854195,
257964,28875,10009,
64393,710974,671105,
111283,426037,392144,
25098,793901,790050,
16182,693280,741982,
67672,499594,498463,
244830,101066,78034,
214190,118606,100503,
238802,151657,70565,
218116,114435,89531,
302223,7048,3552,
179447,262459,212909,
1634,681763,714850,
231779,111233,49966,
163177,230310,203421,
64709,427380,492768,
123287,409048,428702,
88839,411980,388135,
36863,720978,774126,
150760,328984,299757,
4198,865614,763866,
123553,421309,410602,
218422,250199,212820,
109720,360541,376496,
229673,115556,80106,
207390,161236,136149,
95194,408602,447484,
222346,188558,151826,
374479,43575,14599,
24743,655226,663339,
12827,635735,658977,
26370,615690,606298,
196266,286845,251755,
48917,607163,633475,
162487,245305,226989,
1703,659505,694788,
76856,428517,415008,
232467,90564,72505,
13543,612398,664719,
133553,428863,433032,
45251,1062332,679855,
176101,289418,249929,
172359,213269,194418,
67559,528116,479994,
62571,693599,673771,
183082,265070,229108,
88304,552701,532845,
64533,547219,513800,
163549,315811,278885,
89181,367119,385590,
249304,43084,24982,
173392,223032,205013,
6368,669023,649812,
340465,190899,149878,
85868,476425,412459,
110470,384165,373112,
233178,77594,47123,
145140,306701,302942,
170334,191340,193025,
218155,121086,96560,
5208,707820,675515,
83726,426644,430343,
167662,224171,204071,
156887,373117,336606,
206707,131478,110597,
217986,115990,90956,
164191,290881,239495,
111083,551294,502881,
58626,531761,521586,
67935,492292,493591,
216728,118111,96544,
249330,24745,12009,
22171,768927,832007,
158558,260493,273725,
282918,7812,2949,
130648,344506,326301,
21911,555952,838776,
88969,1610838,594974,
153431,307628,287862,
68688,486643,479780,
176676,287978,282308,
59425,528464,549865,
15912,751450,721790,
148565,332521,319122,
82674,573610,527196,
184847,270493,211860,
99769,392726,381616,
137545,351280,294146,
92176,411654,453868,
48270,597629,590278,
198681,356336,298627,
106282,519711,504984,
69181,505389,589327,
3119,741784,699094,
157923,348259,319479,
183206,226214,229740,
19629,650328,760952,
265314,62191,35488,
132074,286735,263759,
225225,80817,60884,
67030,469203,437973,
276967,24273,11120,
135089,299115,274120,
138395,363604,339803,
171402,216517,195504,
32757,561959,584374,
26337,578497,634577,
218884,153513,145323,
29796,767347,699687,
254016,38564,18737,
195319,205956,169620,
81818,407170,393480,
22318,580328,644020,
247800,47292,23479,
44339,553033,562044,
151545,296424,305382,
180341,293736,240698,
24040,628353,637403,
13244,680231,701744,
282842,56383,26932,
218886,133433,109621,
240311,60957,39099,
184207,301032,251143,
73475,459845,414260,
257786,18186,9672,
235036,79490,59569,
71716,436613,435182,
70561,649905,629908,
100354,409343,392976,
230703,84753,56145,
234045,96419,74029,
47410,548092,548310,
121145,436516,362129,
201970,210404,207933,
188973,248861,228770,
51969,485917,549368,
86202,427144,408302,
3205,809643,837937,
27451,596583,580737,
118852,393491,397351,
44545,777247,833249,
151669,364853,350205,
196629,190082,165092,
130332,311438,301904,
142113,335671,316802,
11648,570009,642485,
190282,210769,182842,
72347,489936,500106,
115041,377108,362081,
56018,507575,514398,
171642,259424,220333,
40709,535525,581223,
41714,557016,557883,
133324,320988,292127,
193590,212401,158016,
146050,397594,382716,
164636,253408,251981,
152577,336043,304998,
10563,615909,616132,
137716,292671,291996,
15094,640583,649388,
241622,80046,56273,
185964,206063,180297,
99312,372360,345329,
94647,441486,379260,
128590,323820,303916,
262509,17540,7325,
245288,108540,52368,
160282,270632,249393,
228229,89277,64094,
32158,623787,636852,
185543,219588,197277,
34666,600328,571935,
216612,190784,203624,
42129,704299,786192,
160548,250684,230891,
50041,565267,545899,
207507,156476,141654,
77167,598071,612703,
152084,387240,363110,
178008,192779,174958,
4973,865110,851828,
257944,58603,26266,
231905,54340,29959,
239874,55711,30846,
677,624611,677381,
221449,96833,74266,
164709,244568,253814,
167235,229072,209023,
26802,637867,731947,
8172,727139,799165,
112651,445706,422669,
92374,488839,495151,
143942,310873,283387,
215479,163617,137389,
32575,697435,717334,
46628,584820,584519,
16680,664995,657083,
46283,673023,569822,
213822,271103,218393,
214492,149095,122688,
146648,292511,304339,
209371,152532,128104,
254772,147681,115765,
201441,159712,137172,
247268,50598,29896,
112917,320470,297050,
142155,337587,293238,
102997,404158,417947,
222163,147004,123326,
208107,138242,113520,
35551,629506,563352,
115744,365610,349965,
22164,612353,619612,
24928,658064,652762,
149500,376110,381551,
107325,436637,399104,
336180,283785,22682,
85927,477309,451936,
