Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
25,54,21,
25,22,23,
27,71,381,
26,31,45,
25,88,70,
16,30,22,
37,228,232,
20,37,36,
15,177,179,
33,49,30,
19,135,125,
15,44,35,
25,111,94,
14,31,32,
16,31,30,
33,144,175,
33,20,30,
15,92,116,
14,22,34,
26,67,113,
15,22,30,
14,104,21,
15,138,111,
34,31,31,
15,126,119,
20,31,31,
15,126,144,
15,31,29,
20,183,41,
20,201,92,
20,29,31,
14,222,98,
21,31,32,
26,106,108,
15,31,31,
15,179,31,
15,119,156,
26,30,29,
16,176,105,
15,39,30,
14,77,85,
16,31,30,
14,200,34,
25,198,109,
25,33,30,
15,172,105,
15,76,33,
15,139,100,
14,22,30,
25,109,23,
16,172,117,
14,54,34,
15,170,115,
14,31,32,
15,85,114,
15,38,31,
25,112,30,
26,197,204,
15,32,29,
14,157,96,
15,85,32,
26,138,92,
24,30,30,
26,222,33,
25,90,60,
25,40,31,
15,147,94,
15,58,31,
31,129,113,
15,37,31,
26,126,23,
14,149,232,
24,38,30,
15,144,205,
14,45,34,
26,128,120,
14,31,29,
15,112,33,
15,163,97,
26,34,31,
15,162,98,
15,99,33,
15,131,107,
15,21,31,
14,122,34,
15,117,102,
20,33,45,
15,80,162,
16,34,32,
15,92,109,
14,37,30,
26,118,33,
16,148,148,
15,32,22,
17,132,116,
14,32,22,
15,190,114,
14,48,30,
25,86,33,
16,124,98,
14,20,35,
15,209,120,
14,31,30,
15,72,159,
16,35,36,
15,116,32,
14,194,111,
14,29,22,
16,74,193,
15,22,21,
15,251,220,
14,64,23,
15,119,31,
15,80,106,
15,41,36,
25,130,137,
14,31,22,
30,134,25,
17,150,120,
16,42,40,
15,126,23,
25,168,109,
27,32,22,
16,88,161,
14,38,21,
15,148,173,
15,32,22,
15,213,157,
15,32,25,
15,96,95,
15,41,32,
15,107,97,
14,40,21,
15,179,99,
17,34,40,
16,67,208,
15,38,22,
15,108,230,
15,68,23,
15,225,107,
15,31,21,
15,239,119,
15,34,23,
15,139,102,
15,33,22,
15,234,224,
14,51,21,
15,114,110,
14,21,32,
15,184,112,
15,32,31,
14,134,111,
26,39,31,
15,108,101,
14,63,29,
15,88,113,
14,38,22,
16,167,166,
14,30,22,
16,125,173,
14,32,22,
16,112,103,
14,30,21,
16,172,104,
16,22,21,
15,37,69,
14,30,30,
15,62,93,
16,31,22,
15,174,100,
15,98,44,
16,205,106,
15,30,22,
15,110,93,
15,32,22,
15,62,80,
16,32,31,
16,168,171,
16,31,32,
15,178,104,
15,30,23,
15,117,157,
16,31,21,
15,148,86,
16,33,32,
17,196,123,
16,39,65,
15,120,135,
15,33,21,
15,126,99,
14,31,21,
16,95,105,
15,60,21,
15,110,98,
15,41,21,
15,67,95,
14,39,24,
15,95,181,
15,30,21,
15,178,107,
15,33,35,
16,136,99,
14,30,31,
16,140,122,
15,33,32,
14,787,105,
15,32,22,
17,142,78,
16,31,22,
14,195,142,
14,32,21,
14,124,112,
16,32,22,
15,79,87,
14,32,21,
16,100,105,
15,43,30,
16,122,99,
66,65,31,
15,75,75,
15,31,23,
14,187,103,
14,45,22,
16,211,78,
16,32,23,
15,139,96,
25,39,22,
15,133,111,
15,31,22,
15,112,102,
14,29,22,
16,123,65,
15,39,22,
15,121,111,
27,32,31,
14,149,106,
14,32,23,
14,187,93,
14,32,34,
15,229,105,
16,31,21,
15,66,106,
16,41,33,
15,120,98,
15,31,33,
15,168,95,
14,30,29,
16,103,100,
21,34,23,
15,155,108,
15,30,21,
20,134,121,
16,32,22,
19,218,117,
20,30,21,
15,101,119,
16,32,22,
21,107,100,
18,72,36,
15,166,104,
14,33,22,
20,153,124,
22,32,22,
20,148,107,
16,30,22,
15,112,107,
20,31,22,
21,84,68,
15,58,32,
22,131,87,
16,30,22,
20,138,182,
16,35,24,
15,97,103,
20,30,29,
20,110,109,
15,33,23,
19,122,100,
15,31,21,
15,152,105,
16,32,22,
15,151,138,
15,30,22,
16,147,195,
14,32,32,
15,195,105,
21,32,22,
15,135,166,
20,34,32,
15,158,120,
15,31,29,
14,151,112,
19,39,46,
28,51,202,
33,55,49,
26,107,162,
16,52,32,
21,131,125,
20,85,22,
16,150,130,
17,58,40,
15,132,212,
17,33,38,
20,161,179,
16,35,54,
46,108,245,
28,41,41,
24,113,172,
16,49,23,
16,199,132,
16,50,23,
21,102,119,
16,43,33,
18,304,141,
30,27,22,
21,122,138,
15,40,24,
15,205,129,
16,41,31,
16,125,22,
16,187,112,
20,61,53,
15,147,96,
45,64,49,
30,88,249,
15,41,40,
28,119,175,
29,55,55,
16,180,127,
23,79,33,
21,255,175,
16,43,44,
21,76,135,
16,46,33,
16,129,32,
36,255,231,
78,28,30,
20,149,153,
29,57,56,
28,98,192,
21,48,48,
22,183,44,
21,124,161,
15,63,39,
16,169,204,
16,42,44,
21,156,160,
16,40,33,
22,281,22,
21,148,195,
20,33,23,
21,130,125,
16,40,34,
16,284,108,
16,40,35,
17,177,36,
16,223,111,
15,38,33,
16,133,297,
16,34,36,
17,83,104,
16,36,33,
23,200,46,
16,88,115,
20,32,32,
21,233,91,
17,39,34,
16,300,100,
17,41,35,
22,84,36,
16,207,73,
15,42,33,
22,93,109,
17,40,35,
16,144,164,
16,41,23,
34,223,56,
22,202,206,
14,52,32,
21,161,303,
15,40,31,
15,148,107,
14,38,22,
14,161,34,
16,177,117,
19,29,22,
20,168,112,
15,32,39,
20,88,103,
14,31,38,
21,208,37,
15,213,120,
18,31,30,
20,141,110,
22,35,43,
20,430,72,
21,31,23,
15,203,34,
21,228,158,
15,55,21,
16,170,110,
19,32,23,
22,198,123,
15,33,28,
16,116,30,
20,180,107,
19,32,23,
16,313,219,
15,40,34,
20,419,109,
15,38,31,
14,182,30,
15,148,120,
14,22,21,
16,214,108,
14,33,23,
21,90,122,
28,53,45,
20,147,34,
14,131,204,
28,21,32,
22,148,124,
16,38,32,
15,161,111,
16,42,26,
22,110,22,
20,151,113,
15,32,29,
15,199,108,
21,32,32,
15,66,202,
15,38,37,
21,118,32,
16,149,83,
20,61,29,
21,156,111,
17,40,21,
16,131,93,
15,38,33,
21,97,22,
20,179,129,
15,40,34,
23,170,112,
16,39,22,
15,132,82,
15,41,32,
21,155,23,
16,151,89,
15,39,31,
15,102,118,
14,47,34,
16,190,92,
20,38,32,
14,128,22,
20,188,121,
15,22,22,
15,259,75,
16,38,34,
20,101,152,
15,40,23,
15,109,34,
20,140,100,
18,45,33,
16,145,109,
15,47,22,
16,131,129,
16,68,33,
15,121,37,
14,151,67,
16,31,21,
21,274,117,
15,40,22,
16,199,100,
15,40,23,
20,102,23,
16,140,148,
16,35,24,
16,271,153,
15,47,34,
20,129,111,
16,41,33,
19,106,34,
15,3118,112,
14,31,21,
22,188,111,
16,40,22,
19,110,108,
14,40,22,
16,90,23,
16,163,87,
15,25,25,
14,144,113,
23,35,25,
18,64,217,
21,45,33,
24,166,38,
15,83,185,
40,49,56,
21,67,200,
15,42,49,
15,143,214,
17,34,34,
22,128,38,
22,293,125,
16,22,40,
21,175,146,
16,24,42,
23,149,106,
15,24,24,
22,186,25,
17,113,91,
21,34,21,
22,166,128,
17,36,25,
18,61,67,
16,33,26,
23,113,25,
79,204,67,
15,31,34,
21,195,114,
17,41,24,
16,148,191,
17,53,25,
22,83,126,
17,30,41,
17,158,108,
16,30,32,
23,95,110,
15,40,34,
39,107,257,
29,51,43,
22,90,111,
24,41,38,
22,141,106,
19,38,21,
22,135,122,
21,39,34,
21,236,123,
21,38,22,
22,149,117,
22,45,33,
21,183,104,
22,33,25,
