Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
4626,155,180,
4433,30,22,
7200,32,29,
4412,27,21,
4426,22,23,
8899,29,39,
4504,59,34,
4634,35,49,
4524,21,23,
7478,51,110,
4519,37,87,
4620,36,59,
4512,30,55,
7483,45,42,
4631,40,40,
4549,42,37,
4712,41,32,
4579,50,33,
5057,31,26,
5089,39,32,
5063,50,33,
5094,32,30,
5183,42,37,
4726,44,33,
4803,54,25,
4731,34,30,
4824,40,26,
4728,40,26,
4855,65,23,
4806,38,25,
4833,48,24,
4741,48,28,
4748,53,25,
8841,60,42,
4717,41,29,
4731,39,31,
4774,47,26,
7304,38,45,
4718,42,25,
4709,47,25,
4710,33,29,
4722,29,33,
4730,47,30,
4832,38,22,
4737,54,37,
5049,32,28,
4737,41,23,
4738,39,25,
4718,45,27,
4892,39,22,
4779,39,26,
4731,56,26,
7788,22,30,
4799,52,24,
4714,45,26,
4800,30,23,
4689,39,25,
4768,48,25,
4741,39,24,
4732,44,25,
4730,40,26,
5253,27,29,
4722,45,26,
4722,49,27,
4711,38,22,
8517,60,29,
4736,37,25,
4835,27,23,
4725,39,25,
8771,54,29,
4701,40,32,
4787,45,26,
4710,45,25,
4695,40,22,
4718,39,24,
4873,37,27,
4693,48,23,
4850,44,25,
4781,50,25,
8993,54,33,
6135,41,28,
4733,39,24,
4660,38,22,
4727,34,26,
4626,56,25,
4698,45,22,
4651,35,24,
4808,37,26,
4725,39,30,
4829,47,25,
4729,28,47,
4957,45,24,
4840,28,27,
4935,37,26,
6525,50,28,
4959,36,44,
4917,44,32,
4940,34,28,
4929,48,25,
4993,40,27,
8948,47,27,
4932,39,26,
4947,40,27,
4888,40,38,
4847,28,26,
4829,43,23,
4889,30,23,
7433,50,26,
4852,46,27,
4826,40,37,
4818,40,25,
7842,45,25,
4816,31,21,
4805,44,25,
4801,40,32,
4831,35,32,
4820,27,25,
4891,39,25,
4841,33,21,
4890,46,24,
4878,53,26,
4891,31,22,
4838,48,24,
5343,44,32,
4831,30,23,
4822,41,33,
4823,44,25,
4832,31,23,
4851,51,24,
7925,43,26,
4883,31,24,
4840,36,25,
8927,36,30,
4833,32,23,
4828,40,24,
4839,29,25,
4849,32,23,
4863,50,23,
4855,41,25,
4838,34,23,
7979,44,30,
4840,47,26,
7930,50,25,
7898,35,26,
4836,47,27,
4841,33,23,
4738,49,26,
4825,44,25,
4730,30,23,
4826,55,25,
4728,45,32,
4690,33,32,
4830,57,25,
7758,35,100,
4836,46,42,
4727,39,30,
8828,40,26,
4829,44,25,
4616,44,26,
4733,30,23,
7860,41,30,
4715,43,26,
4589,33,23,
4713,52,30,
4581,53,26,
4703,30,22,
4628,42,25,
6808,50,26,
4724,23,23,
4823,44,26,
4834,53,33,
4837,33,25,
4697,30,26,
4689,49,25,
4724,32,24,
4701,40,25,
4736,49,26,
5166,32,31,
4851,50,27,
4838,29,25,
4840,31,21,
4726,45,25,
4732,51,29,
4718,31,31,
4709,29,25,
8827,47,33,
4828,34,24,
4700,39,26,
4709,44,25,
4699,23,23,
7628,45,30,
4780,36,26,
4892,30,22,
4711,40,23,
4720,40,26,
4792,34,21,
4736,42,27,
4716,45,25,
4840,31,23,
7752,70,39,
4716,45,26,
4734,34,21,
5362,32,29,
7748,46,39,
4852,47,24,
4726,46,35,
4718,52,35,
4715,40,23,
4797,45,26,
4734,47,26,
4707,48,26,
4778,43,55,
4852,45,45,
4730,31,30,
4816,45,34,
7755,34,29,
4758,31,30,
5089,44,29,
7864,48,31,
4780,31,23,
4868,51,24,
7686,47,32,
4810,33,29,
4676,29,24,
5200,41,28,
4717,33,22,
4828,40,25,
4599,44,24,
4692,33,22,
4615,28,26,
8926,63,38,
4630,23,23,
4725,42,26,
4624,43,27,
4716,30,23,
4644,29,24,
4722,38,25,
4764,34,27,
4835,44,24,
4820,46,24,
4844,32,22,
4939,31,26,
4827,30,26,
4811,32,29,
4851,58,26,
4864,48,28,
4832,33,22,
4803,43,25,
4825,50,23,
4818,34,21,
4831,40,26,
4801,51,24,
4818,32,24,
4826,29,25,
4813,43,25,
4812,33,22,
7916,28,37,
4859,45,24,
4793,44,22,
4828,38,25,
4821,43,24,
4823,34,28,
4853,52,24,
7950,45,30,
4837,34,27,
4832,29,26,
4836,44,26,
4830,35,23,
4827,43,25,
4839,28,26,
5276,46,33,
4831,29,26,
4819,30,27,
4809,31,22,
4814,28,26,
4826,28,24,
4829,33,24,
5186,45,40,
4814,28,25,
8989,39,30,
5174,58,28,
4811,48,35,
4808,33,22,
4816,38,26,
7118,40,26,
4722,33,33,
4815,39,26,
8893,52,60,
4829,32,23,
4711,28,26,
8785,56,35,
4833,33,23,
4713,46,26,
4827,40,25,
4789,39,22,
4833,29,26,
4627,38,46,
4724,30,25,
5104,48,38,
4735,52,33,
4668,32,24,
7922,38,41,
4604,38,45,
4720,32,26,
4665,44,33,
4722,39,36,
4615,31,32,
4613,48,39,
4739,47,47,
5200,44,24,
4805,30,24,
4830,45,24,
5097,24,25,
4708,44,25,
4688,39,47,
4714,31,23,
4726,46,24,
4778,30,25,
4825,34,22,
4744,40,38,
4735,34,69,
4730,32,24,
4725,42,39,
4732,28,34,
4848,31,28,
4713,39,24,
4726,34,45,
4695,31,23,
4716,42,27,
4757,38,26,
4821,34,24,
4730,39,25,
4717,33,47,
4733,33,30,
4732,52,25,
4721,50,25,
4883,34,24,
4736,28,26,
5077,36,48,
5033,35,23,
5081,48,26,
7881,51,32,
4881,32,22,
4717,45,25,
4740,34,48,
4734,32,32,
4734,40,25,
4725,55,25,
