Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
39,125018,22,
38,92138,66,
26,87407,32,
15,89303,22,
14,91497,22,
26,84041,20,
14,87288,44,
17,86843,22,
14,91931,33,
27,86186,22,
14,90729,22,
16,89599,22,
25,87422,21,
16,91864,22,
14,103603,20,
15,90402,21,
13,90512,21,
16,87250,20,
16,89011,22,
25,91672,22,
23,97091,23,
14,84301,21,
26,87469,29,
14,87323,66,
15,92438,19,
15,85488,21,
27,85601,23,
16,86733,21,
15,88393,21,
13,82512,21,
14,83816,21,
15,87305,22,
28,104973,24,
16,86177,32,
15,88094,23,
15,91252,21,
14,85121,22,
24,86623,65,
16,88347,21,
15,86456,21,
13,110295,36,
27,83784,21,
14,87161,32,
28,104088,35,
26,83880,21,
14,87847,21,
14,87252,21,
28,87754,22,
13,87319,21,
14,90542,21,
28,88965,21,
25,92936,21,
13,86476,21,
15,88674,20,
16,210029,61,
48,106207,25,
14,90139,18,
26,83870,20,
14,86870,21,
14,87439,20,
15,86333,24,
28,86191,21,
13,87121,22,
28,85682,22,
32,105845,23,
16,87076,21,
27,97351,21,
14,89033,22,
27,85571,55,
15,87949,30,
16,91771,22,
16,101706,28,
14,86544,21,
14,89646,21,
15,84531,22,
14,100489,35,
13,121336,36,
27,85726,22,
14,85707,21,
26,84220,32,
26,83823,30,
15,82441,20,
14,83952,33,
15,86091,22,
26,84575,21,
15,88448,20,
17,98912,23,
16,86045,21,
27,83716,33,
15,87079,22,
28,85522,21,
14,86874,22,
14,89125,33,
14,86470,22,
14,86126,34,
15,87044,18,
15,87488,20,
15,114359,20,
28,128052,24,
50,92509,24,
14,84199,20,
16,86801,24,
14,87420,21,
14,89177,21,
28,87951,22,
15,89557,22,
14,89419,21,
15,85734,21,
13,86481,19,
44,89320,22,
13,84000,20,
14,88630,33,
16,88773,21,
15,89336,20,
14,85483,33,
14,84256,21,
16,85873,22,
15,83697,21,
16,87309,21,
15,88269,22,
26,83715,34,
28,83803,20,
26,83135,18,
27,88178,21,
15,91334,22,
14,84229,21,
16,87741,21,
14,89022,22,
15,85351,20,
14,86136,33,
15,87813,34,
27,88062,34,
15,86128,20,
15,85834,21,
13,107038,37,
15,82447,32,
15,83780,22,
14,85837,22,
16,87086,34,
16,91420,33,
13,86873,21,
29,85740,33,
15,85756,22,
16,88748,21,
14,83829,32,
30,92488,22,
27,88445,21,
15,88405,24,
16,87419,22,
15,86127,30,
14,90591,21,
14,113222,19,
48,99299,21,
15,89061,20,
27,94523,20,
13,87312,30,
27,86799,22,
28,83956,31,
14,85550,20,
27,89863,20,
15,107407,22,
14,90172,31,
28,83763,20,
14,88973,31,
27,86157,21,
15,87739,21,
14,83551,32,
14,90254,31,
14,87389,21,
14,90357,31,
14,84946,21,
29,86542,20,
25,85672,22,
14,89563,34,
42,83988,19,
14,85736,31,
42,84248,19,
14,84849,20,
42,83807,18,
13,87677,29,
16,88690,21,
43,85929,30,
27,84420,37,
15,89944,21,
15,85710,21,
15,102594,36,
15,91280,23,
16,86169,31,
15,84149,32,
17,88701,21,
14,86989,20,
15,87544,31,
14,87929,22,
15,91531,32,
27,84481,21,
14,87552,20,
14,87497,21,
15,86069,33,
14,87495,22,
15,92368,32,
13,83805,21,
15,88867,21,
16,87351,20,
14,84372,30,
28,85849,23,
15,85140,29,
14,86971,19,
14,87528,22,
15,88611,21,
13,86418,32,
26,84453,20,
19,90197,33,
14,93480,22,
15,86916,18,
14,89723,21,
27,86347,30,
15,88573,22,
21,88351,30,
15,89902,21,
28,86457,22,
28,84201,20,
30,112197,34,
43,85455,21,
14,85470,32,
90,90479,23,
27,102855,21,
15,83781,19,
42,99059,30,
16,86962,22,
14,84158,37,
15,86301,21,
32,93730,21,
15,87455,21,
14,91297,34,
15,87890,21,
21,90917,33,
16,89160,25,
27,88441,21,
43,95683,22,
15,87413,29,
15,88305,19,
14,88587,32,
26,86949,21,
14,86223,22,
14,86335,22,
28,83953,32,
15,84035,21,
14,85080,30,
27,84252,21,
15,88022,22,
15,88333,21,
17,84139,30,
27,83846,21,
26,84041,31,
14,87582,21,
28,86523,23,
15,85698,21,
14,86616,31,
15,175819,21,
25,85435,30,
19,114862,24,
14,89963,24,
26,84352,23,
14,87541,31,
28,83853,36,
13,89473,32,
15,84458,22,
15,88242,22,
15,88118,21,
13,88790,29,
26,82425,20,
26,83598,31,
15,86239,34,
16,88334,19,
15,89439,20,
15,87328,30,
15,87866,21,
14,86980,32,
15,100112,33,
27,83527,32,
14,86109,33,
26,86063,32,
13,90055,33,
19,83384,31,
27,84560,21,
28,83581,21,
14,94387,22,
13,83961,30,
30,88323,21,
14,85276,31,
16,84164,22,
16,86663,21,
15,85630,22,
16,87402,32,
13,81910,22,
13,86017,31,
14,88683,22,
16,96498,22,
26,89004,21,
100,86275,31,
42,85731,22,
15,85520,32,
28,88899,21,
28,83765,20,
15,87369,34,
16,92564,48,
28,83904,33,
14,90654,33,
14,82939,19,
15,87484,22,
14,85793,21,
16,91458,47,
15,86684,33,
24,87256,32,
16,92345,22,
14,84581,22,
15,84273,21,
15,87859,31,
15,88285,22,
16,86931,31,
14,86753,22,
15,88709,21,
14,85718,22,
14,87011,30,
17,89279,21,
15,89831,33,
27,84525,21,
28,105124,21,
15,86008,22,
14,87707,31,
29,88358,33,
15,83742,35,
28,89156,20,
14,90533,20,
15,87446,20,
15,84757,30,
12,85619,19,
27,88713,30,
27,87437,21,
15,89313,22,
16,89747,36,
18,89332,32,
15,86092,21,
22,95649,34,
17,88848,20,
27,92434,67,
19,89548,49,
30,100123,36,
22,93231,21,
15,81543,30,
15,87846,29,
29,95416,18,
28,82046,19,
22,85790,29,
14,86552,21,
23,86041,33,
43,86081,21,
15,83842,19,
42,83869,20,
14,88574,29,
20,90754,20,
30,85337,30,
14,86045,33,
15,86070,33,
15,91441,49,
14,85954,45,
41,87015,32,
14,86839,22,
27,162577,21,
30,87820,30,
15,87844,23,
15,89702,24,
61,89200,32,
26,87028,24,
19,89878,32,
15,105373,22,
27,82388,29,
19,85638,20,
15,89211,22,
15,86458,18,
14,90121,29,
15,88581,20,
16,88401,32,
26,87189,34,
14,89680,19,
14,133583,28,
15,85704,19,
28,88327,40,
22,108648,32,
15,87623,22,
14,86758,32,
14,90206,27,
27,87429,27,
14,87021,32,
16,90475,22,
15,84220,22,
22,89035,32,
14,85938,20,
27,83777,43,
15,84131,25,
15,92520,20,
17,86391,22,
16,87368,21,
15,89228,23,
20,87122,32,
15,87841,27,
33,97715,35,
25,87127,26,
15,88533,22,
28,85476,23,
14,87717,22,
15,84134,20,
16,90194,31,
17,88758,43,
15,89207,33,
27,86847,27,
15,83788,21,
15,102326,24,
15,84231,20,
15,88409,30,
15,86456,31,
14,86899,22,
31,89846,32,
16,84026,21,
22,89961,21,
15,85824,32,
14,89703,18,
17,87056,30,
16,85856,31,
28,84285,22,
15,84027,30,
15,86956,26,
15,90121,21,
27,84259,20,
31,86689,19,
15,85709,18,
16,88571,33,
37,87075,22,
43,86138,31,
29,82270,20,
14,88406,20,
26,83664,21,
13,90394,21,
26,87527,19,
15,87982,31,
27,88538,23,
14,84037,32,
15,86200,22,
27,83842,19,
41,83924,21,
15,98534,24,
42,86307,30,
14,88805,30,
28,88440,22,
20,92062,31,
27,84012,21,
15,87923,22,
29,90765,24,
15,89664,21,
43,101143,33,
15,90324,32,
14,85820,22,
20,87221,30,
29,86218,21,
15,89313,34,
14,90852,23,
27,84014,21,
29,83769,20,
15,100849,31,
30,87859,22,
14,91399,32,
15,87319,23,
14,89915,25,
27,85808,25,
28,84238,18,
20,127789,25,
21,88790,33,
15,89685,23,
15,89688,34,
16,87338,22,
16,86121,23,
30,93770,22,
15,86702,21,
29,88712,22,
20,92531,35,
15,89417,21,
13,86929,30,
20,90821,24,
28,91747,24,
14,87549,31,
13,84347,25,
14,86260,19,
14,87518,23,
15,88448,32,
27,84191,19,
19,85366,34,
14,85735,26,
14,86435,21,
14,88000,32,
20,84663,21,
14,92550,23,
21,98264,33,
19,86159,29,
15,84318,21,
16,86481,34,
22,84152,21,
14,88810,22,
27,89550,37,
19,88212,23,
15,87070,23,
28,83581,20,
14,91004,34,
21,92252,24,
15,84089,31,
21,86998,25,
15,97354,19,
15,90732,31,
32,95600,22,
14,154705,19,
15,83899,23,
21,90278,32,
35,91067,26,
14,88836,34,
14,83913,23,
15,93556,22,
20,87519,30,
16,88195,18,
16,84160,25,
43,98399,29,
14,86231,31,
43,89569,21,
14,117380,40,
42,88873,38,
46,135109,29,
53,107346,34,
26,81568,22,
13,90302,21,
15,92953,25,
21,87915,31,
21,88655,22,
15,89085,32,
15,86607,25,
29,87584,23,
17,89041,33,
15,86501,22,
41,89361,22,
28,86991,21,
15,88596,31,
41,84724,22,
30,91601,33,
43,92270,19,
14,83570,25,
19,89785,33,
16,93533,19,
15,83969,19,
27,88990,21,
16,89159,32,
15,83944,22,
14,86834,32,
20,88784,26,
15,86938,19,
15,87753,31,
22,87931,33,
13,86957,21,
21,88409,22,
19,84109,31,
15,86432,21,
29,85770,32,
28,86389,24,
28,86034,19,
30,90986,33,
14,86967,22,
15,88374,21,
14,86024,31,
14,94647,31,
14,90105,22,
29,88165,33,
14,83964,24,
15,84423,24,
15,86902,30,
16,88665,22,
15,89130,22,
15,85754,27,
19,89694,34,
16,89690,23,
16,101678,30,
14,86484,20,
14,88039,19,
27,85533,31,
15,86638,24,
16,92000,25,
28,89940,30,
15,87179,31,
14,84458,42,
19,84222,30,
17,91509,29,
16,90538,23,
15,87442,30,
14,91502,22,
16,86912,19,
17,107245,20,
30,89164,33,
14,89289,19,
20,83975,31,
14,85266,21,
27,82507,21,
14,89031,34,
15,87165,23,
15,88314,22,
15,89450,19,
16,88927,32,
16,93387,25,
18,84221,30,
14,87766,22,
28,86840,18,
13,85990,32,
31,92745,29,
15,101486,21,
14,91674,46,
20,88835,30,
17,94530,19,
19,85716,31,
15,84370,20,
14,83653,27,
19,88014,30,
14,84422,21,
23,91450,20,
14,83817,18,
22,93747,31,
14,84750,18,
20,89736,31,
27,85745,22,
29,87110,28,
15,89734,33,
28,83921,22,
14,84965,18,
13,89138,21,
15,83917,31,
26,87978,22,
14,88086,30,
20,86658,21,
19,90863,20,
14,86521,29,
28,84157,18,
14,85450,36,
30,86239,23,
19,88574,21,
14,86815,19,
28,83931,19,
15,86339,32,
14,91834,21,
14,85796,31,
21,163876,19,
15,86681,19,
15,91971,34,
23,86785,19,
14,89323,23,
22,87581,20,
15,88362,33,
26,83014,19,
16,88933,30,
20,87673,22,
14,89340,22,
14,89167,34,
14,89916,19,
16,83875,18,
15,87666,21,
26,86845,30,
29,85603,20,
14,88519,31,
28,85459,21,
28,86544,21,
14,90729,33,
15,88977,20,
28,87510,23,
21,86487,22,
14,89524,30,
20,85564,21,
27,82362,29,
27,88177,25,
28,90233,21,
15,91498,34,
15,85195,27,
15,86499,20,
27,87331,20,
14,88801,32,
16,89052,21,
15,87276,30,
27,83932,21,
27,89115,37,
16,97546,34,
19,86912,24,
15,84530,25,
15,87914,20,
16,88095,32,
13,87021,25,
17,88927,32,
22,88610,22,
17,83558,26,
15,92411,30,
20,83048,19,
29,87960,28,
27,86180,22,
14,87844,31,
14,83290,21,
14,87197,29,
14,92218,26,
27,87863,36,
20,86732,33,
20,83364,19,
15,86409,20,
16,89888,18,
16,87129,31,
22,88617,44,
14,86758,34,
28,84096,21,
22,88432,22,
16,86586,33,
14,81789,23,
15,86296,21,
15,87564,21,
16,92520,36,
15,83893,22,
28,84189,32,
15,83606,19,
14,86925,21,
16,86977,30,
15,85301,19,
29,91491,33,
20,88762,28,
15,84012,30,
26,86679,22,
15,86481,32,
31,97490,22,
15,88390,22,
14,86436,31,
14,85336,27,
14,87237,20,
17,88315,21,
14,87037,29,
14,86195,21,
15,86594,32,
16,85761,21,
28,87133,21,
17,91422,33,
14,84351,21,
22,86985,22,
30,87733,22,
22,87436,30,
14,89018,20,
27,86155,32,
29,83752,21,
14,88747,19,
28,89438,31,
15,85924,20,
14,83603,18,
15,111017,21,
26,87642,37,
14,86807,24,
15,89619,32,
20,84046,23,
16,87526,22,
16,88912,32,
16,88904,22,
14,89968,20,
15,83946,20,
21,100066,31,
13,89091,20,
15,85960,31,
29,89364,28,
27,86962,29,
14,84254,32,
14,85439,20,
15,89223,27,
14,86202,20,
15,90824,49,
15,87053,21,
16,87364,30,
15,88445,29,
14,86962,27,
15,91226,32,
15,86268,22,
15,89674,21,
28,90026,23,
14,83634,30,
14,85055,24,
16,83888,31,
15,87411,21,
29,86051,25,
28,83984,29,
14,83245,21,
14,89984,19,
15,83751,22,
14,87342,31,
13,83358,22,
28,91469,30,
15,85651,24,
14,84124,24,
26,88148,32,
27,83612,21,
27,86451,22,
27,83590,21,
13,91759,33,
15,81955,23,
15,89398,31,
14,90078,21,
14,88211,32,
15,91783,31,
14,90163,34,
27,86550,32,
15,83833,43,
27,84889,19,
15,86340,21,
15,95948,23,
15,87082,30,
15,84083,21,
15,88567,30,
14,92921,23,
15,86897,36,
17,84411,30,
13,87061,29,
18,98609,23,
28,84088,19,
15,84269,32,
15,84130,19,
15,85821,33,
14,84116,23,
15,86241,20,
27,83887,31,
15,84021,21,
27,84379,21,
14,84386,19,
15,86835,31,
28,85836,20,
16,86282,30,
14,89537,21,
15,96347,19,
15,87032,33,
15,83521,21,
14,86136,22,
14,88769,21,
17,86569,32,
14,86339,18,
24,89458,30,
14,84873,21,
27,86915,21,
14,86289,33,
15,89262,21,
15,86930,21,
28,89215,22,
26,83695,31,
14,85875,19,
15,86261,31,
14,90222,22,
14,86244,19,
28,90260,36,
15,83662,22,
16,87384,20,
13,84382,21,
15,84568,32,
15,90161,20,
15,88327,32,
27,84203,21,
27,98430,24,
14,84285,31,
26,84371,21,
14,84153,22,
29,87480,20,
15,87905,31,
30,102721,24,
13,82422,30,
17,86469,22,
16,88462,22,
14,90865,32,
27,83961,20,
26,89479,22,
25,91322,21,
26,91223,32,
20,89174,29,
15,90851,31,
16,90685,21,
15,95738,24,
16,92435,33,
22,92498,24,
29,96917,23,
16,92776,21,
17,93432,34,
22,94834,25,
14,79763,30,
12,85246,19,
14,85625,18,
14,83579,29,
14,88323,19,
15,84286,19,
13,86787,21,
16,86977,30,
15,88602,19,
16,88742,32,
27,103619,26,
15,87661,20,
16,84107,32,
17,89471,21,
16,87640,19,
26,87813,19,
15,86346,34,
21,87024,23,
15,86288,30,
27,84276,20,
15,89000,2347,
631,215784,57,
54,82292,23,
28,83826,20,
29,86211,22,
14,85136,31,
13,87567,20,
17,90138,33,
20,85933,21,
15,87583,20,
15,91663,32,
17,97038,26,
17,96799,26,
18,90199,21,
17,103593,36,
18,84157,28,
13,82362,30,
22,107438,29,
15,86486,21,
14,84716,32,
15,88758,29,
15,88610,21,
15,86410,21,
27,89747,32,
14,83869,22,
30,98943,33,
26,103449,22,
14,88925,22,
25,89063,31,
27,83752,21,
15,86315,20,
15,89785,22,
15,88827,33,
17,87279,20,
19,100355,31,
26,88477,21,
14,87542,22,
15,84373,31,
15,90221,21,
14,88382,22,
14,84159,20,
14,89066,33,
14,86077,22,
14,89307,32,
14,85082,21,
15,87506,22,
26,86327,31,
27,87009,24,
15,87914,19,
14,87087,21,
15,86511,29,
26,87491,21,
15,84053,31,
28,84293,18,
17,88385,19,
14,84191,30,
15,89337,18,
26,84026,21,
14,87229,22,
15,93577,32,
17,96238,19,
15,82875,30,
15,84534,20,
14,88936,21,
15,88686,31,
15,84592,22,
14,85670,21,
15,90399,25,
15,87320,32,
16,89266,20,
16,88933,34,
26,88701,20,
28,91495,22,
16,91554,33,
27,84041,22,
15,87057,21,
28,87383,20,
28,86104,33,
17,86735,21,
14,83988,31,
18,100325,21,
26,83834,19,
15,88120,32,
26,93834,20,
15,87493,20,
27,87814,21,
14,84693,32,
14,86258,18,
15,84755,33,
28,89867,21,
15,110925,21,
15,88250,32,
