Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
9541,15859,14937,
10336,16913,17738,
8928,15657,15228,
9856,17333,14505,
9487,15176,14863,
8438,14516,13678,
9176,14026,13627,
9133,16199,15869,
8737,13561,13458,
7880,13131,14298,
8755,15277,14963,
8956,15291,15332,
8802,14743,15330,
8575,13684,13461,
8426,13635,13621,
8350,19309,14062,
8524,14252,13459,
8954,13698,13625,
8603,15729,14914,
8521,13254,14018,
8077,13534,13523,
7944,13499,13601,
7904,13556,13546,
7362,13543,13488,
7716,13664,13554,
8334,14825,14893,
8813,13692,13454,
8435,13617,13439,
8715,13425,13368,
8668,14894,14134,
8100,13773,14940,
7916,13109,14231,
8980,14693,15193,
9059,13153,13456,
9382,14102,13591,
8308,13633,13342,
8133,13288,13835,
7972,13152,14250,
7685,13130,14161,
8967,15218,15206,
8691,15005,15160,
7925,13572,13499,
7963,13495,13479,
8113,13651,13324,
7795,13285,13341,
8566,13468,13512,
8672,13215,14270,
9019,14535,15966,
8855,13586,13355,
8906,13313,13506,
8925,13773,13464,
8523,13969,13270,
8632,13137,13485,
8360,13346,14165,
9988,13372,14011,
9283,14134,13352,
8937,13483,13525,
8690,16044,13584,
8636,13716,13705,
8511,13684,13409,
8654,14919,15149,
7973,13699,13420,
15420,14021,14857,
8112,13213,14044,
7354,13810,13508,
7457,13109,13548,
8650,13580,13545,
7344,13669,13208,
7474,13499,13562,
8952,13493,13584,
8821,13804,13355,
8801,13280,14152,
8823,14075,15370,
8913,13544,13327,
9244,13231,13462,
9094,14337,14186,
8817,13623,13453,
8814,13364,13775,
8821,13486,13345,
8577,13626,13579,
9075,13336,14327,
9047,13613,13412,
8946,14955,15270,
8874,13703,13575,
8888,14153,13519,
9277,13772,13561,
8589,13710,16313,
8785,13215,13816,
8716,14362,18409,
8905,13034,13354,
8704,13282,13433,
9168,13707,13655,
8678,13607,15993,
9150,13217,13993,
8476,13437,13291,
8888,13673,13461,
8681,14464,17785,
8602,13657,13377,
7674,16335,13145,
8915,13492,13429,
8633,13886,13164,
8650,13688,13430,
9327,13778,13557,
9909,20235,16529,
9847,16923,14124,
9367,13316,13399,
9767,14495,14065,
8890,13498,13405,
8932,14828,13918,
9111,13577,14142,
9463,14409,14181,
9579,14352,14175,
7676,13185,14324,
8767,13693,13704,
13306,13269,13424,
8797,13741,13401,
8682,13859,13123,
9178,15033,14703,
7582,13819,13460,
9108,13127,14135,
