Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
3276,8792,6259,
4239,5644,5370,
2283,7861,8495,
3154,6799,7726,
1047,9805,9684,
1354,9029,10104,
2272,8288,7656,
4872,4185,4715,
573,10260,10793,
4683,4407,5076,
3180,6897,6301,
1931,8074,8850,
5574,3706,4612,
8579,2770,3709,
4345,4898,5750,
6029,2202,2899,
4029,6167,7596,
579,9714,10650,
5362,3779,4007,
776,10649,10004,
5702,4341,3954,
5002,6721,7085,
5350,6002,5520,
4332,5312,6426,
4682,7954,7451,
424,11583,11211,
1463,10621,10736,
2470,8446,8767,
4441,5932,5543,
4613,6813,7481,
3491,6608,6184,
2528,7883,8716,
7048,1708,672,
1486,8978,9902,
5275,5087,4575,
5354,3918,4522,
7467,163,97,
4703,4675,4442,
3165,8002,8772,
4998,4102,3763,
5744,3129,3872,
6817,1994,2635,
6468,2476,3234,
6439,1674,2334,
7815,1558,673,
2824,13465,7594,
4269,7953,7550,
4864,5923,5522,
1187,9395,9858,
4954,4103,6712,
7436,2131,1634,
2660,7861,8649,
5755,3698,4373,
6765,3172,2678,
1943,8538,9158,
309,11114,10645,
5660,4544,3379,
7343,235,262,
1717,8880,8981,
1681,9349,8933,
4251,4790,6369,
7246,617,702,
6122,2425,3209,
2494,7687,8258,
6780,1154,787,
3392,6369,6127,
5195,3714,4608,
3076,8198,8574,
3860,5712,5329,
5953,2524,3268,
5126,4113,7484,
7290,867,581,
5653,4046,3625,
6569,1597,654,
831,10139,9693,
2186,10097,9969,
5313,3184,3968,
6700,1717,2375,
4210,4942,5439,
2895,9285,9971,
4955,4484,4179,
5813,3776,3358,
325,10527,10932,
6592,1835,1500,
4281,5283,7810,
653,10314,10359,
4886,4358,4055,
2010,8765,11252,
5967,4282,3890,
3733,5668,6307,
6988,1307,1280,
6687,5441,5183,
4585,4231,4904,
698,9871,10442,
4923,4776,4157,
2175,8817,9728,
4372,5363,4904,
872,10295,11397,
5793,4574,4887,
5182,5148,4823,
2242,8610,8496,
2955,6771,7850,
7337,1453,761,
3793,6909,7696,
2905,8103,7454,
5705,6326,7154,
6311,3407,4603,
4594,4873,5657,
4597,5155,4716,
3192,7532,7135,
6342,2514,2093,
1114,10454,9930,
5097,5062,5985,
1227,8979,9846,
2482,7954,7620,
6008,2762,3424,
487,11901,11346,
6171,2697,2838,
5682,3439,2978,
7589,1137,1225,
6157,2335,2993,
7329,2097,1976,
2452,7741,8577,
4850,5859,4918,
3296,6963,6569,
4787,4436,4927,
5474,5020,4553,
6214,2336,2848,
7359,1555,1934,
844,10101,10832,
1751,8524,9218,
5734,2934,2665,
4171,8104,9168,
4683,5561,5174,
1097,10404,10452,
989,9471,10158,
5605,3256,3934,
721,12137,11375,
4927,3853,4527,
3683,5305,5954,
3933,6212,5729,
5844,2477,3144,
1752,8922,8366,
5000,4588,5508,
3299,6505,7192,
6020,2520,3392,
5643,3883,4443,
1835,9040,8622,
5002,5947,5632,
4454,7949,5219,
2517,7882,7425,
2207,7872,8524,
830,9974,10652,
7969,893,1176,
973,9757,10943,
487,10067,11195,
5918,2927,2805,
1546,9142,8980,
2503,8902,8509,
3445,5973,6557,
3188,8395,7744,
560,10099,10711,
7513,1169,1227,
1738,10057,9648,
5420,3911,4602,
6895,1952,1503,
350,10970,10892,
5029,3939,4118,
5276,5305,4939,
1804,8671,8461,
6075,2288,3035,
5043,4057,3656,
361,10567,11204,
4536,6362,6188,
6007,2740,2455,
8205,488,230,
1277,9812,9407,
7070,2058,2714,
3742,5522,6146,
7500,373,269,
4410,4523,5147,
999,10126,10510,
4216,5303,4867,
7466,1921,2703,
6035,3851,3374,
6371,5683,5138,
653,9859,10858,
380,10930,9978,
1421,9260,9399,
5739,2978,3675,
845,10717,11728,
699,10210,10221,
6218,2624,3105,
1237,10559,10438,
1679,10367,16357,
1941,8175,8563,
6876,1388,906,
3204,6728,7334,
430,10326,10222,
1626,8939,8402,
6853,682,504,
6643,1420,1523,
1026,10221,9817,
5988,2201,3194,
7053,374,253,
3074,9253,8014,
8208,46,48,
4459,5641,5215,
5858,4277,3703,
1697,9138,9578,
5326,3348,4092,
3018,7158,7804,
5136,3882,4725,
5873,2370,3044,
3342,6527,5938,
4161,6085,6646,
4503,7862,7228,
5068,4082,3763,
4329,4645,5347,
2918,7294,7077,
3496,6377,7222,
6882,3048,3635,
2542,8012,7847,
1736,8614,9467,
2325,8247,7978,
6143,2261,2840,
5570,3097,3531,
3487,6658,7129,
591,10841,10761,
3467,6977,6778,
2978,7303,8755,
3000,8034,7409,
3320,6735,6258,
1754,8492,9508,
183,10949,10854,
6885,792,639,
6779,1029,1104,
1058,9229,11014,
935,10302,10133,
2636,8163,7920,
4559,4694,4406,
4412,4580,5096,
6742,976,718,
3498,5964,6631,
678,10557,11287,
1825,8471,8668,
4211,5323,6212,
4054,6110,5829,
3128,6620,7657,
4147,5569,6385,
5995,2740,2479,
8368,187,102,
4933,4093,3724,
4881,5024,4515,
6456,2771,3506,
1599,8803,9425,
858,11381,12643,
7207,169,138,
4557,4878,4477,
6909,1154,1041,
3176,6797,6391,
3035,10162,6766,
6855,2430,2981,
1966,8688,8308,
6005,2563,3285,
4113,4997,5710,
3885,5601,5281,
4577,4798,5589,
6689,1270,1083,
2984,8821,8331,
794,10280,10704,
5187,3787,3474,
7187,2126,1683,
6055,3264,3371,
84,10514,11447,
7957,470,588,
2465,8804,8373,
5572,4800,5452,
4387,4865,5450,
1552,11008,9964,
7874,158,193,
6290,1903,2592,
4136,5620,5038,
6096,3226,3792,
6170,2441,2094,
5044,7880,7620,
6143,2028,2680,
7611,3190,4856,
6832,900,1092,
3554,6160,5871,
1736,9411,8841,
3788,6310,5769,
3196,6883,6434,
7276,2503,2090,
2570,7271,8131,
938,10381,10015,
6579,1274,1296,
2717,14531,7421,
4676,7864,4393,
7751,1655,700,
2628,7629,8290,
5425,3540,3121,
1282,9756,9803,
6947,1253,773,
7096,1137,807,
1237,9258,9887,
4506,5636,4913,
5730,3951,4470,
4059,5518,6119,
7390,1795,2599,
4025,6449,5996,
5470,3758,3803,
1495,9081,8851,
4397,6884,6827,
3404,9975,7741,
4156,6422,5976,
1731,8949,8289,
5174,4989,4644,
2085,8132,8961,
2015,8335,8216,
7953,814,983,
5963,2728,3469,
899,10676,10062,
7763,4302,4453,
4663,5801,6215,
4953,4313,3934,
4727,6778,5612,
4412,4549,5173,
5801,2520,3137,
472,10974,10484,
6808,2571,2210,
4075,4890,5612,
4645,4276,4926,
3270,6921,7234,
3088,6350,6974,
6769,976,766,
3055,7191,6570,
8105,390,444,
4086,5608,7127,
5598,3168,2836,
2219,9428,9885,
4052,4935,5703,
4733,4665,4301,
5852,2361,3036,
4728,4493,5338,
2152,9944,12681,
5959,3209,3842,
3356,6440,6205,
260,10770,11181,
6786,1259,1324,
1454,9347,8940,
7490,401,299,
5371,5439,6222,
4532,5131,4545,
6052,3503,4258,
4673,5757,5521,
2136,9192,9765,
6013,3632,4194,
6054,2384,3080,
2235,8569,8002,
1967,10463,9510,
135,11326,10961,
7717,1186,1249,
7166,2715,3413,
568,28526,10437,
4129,4814,5570,
6172,3591,4086,
6465,2942,5262,
5941,2374,3104,
416,11088,11247,
6947,905,964,
2691,7248,10953,
6210,2324,1772,
2179,9832,10273,
3644,8006,8287,
2122,8554,8453,
5576,3966,4942,
3030,6595,7222,
5535,5091,4867,
3324,6652,7192,
1984,9174,9638,
1363,9413,9035,
4931,3812,4447,
3585,7096,7517,
3757,6765,6291,
4464,6327,5920,
2696,6895,7744,
4517,5561,6999,
3653,6271,6048,
248,11764,11625,
5250,4835,4701,
4966,4938,5591,
5009,5015,4719,
3382,6289,6869,
953,9823,10125,
2156,8011,8596,
4213,7401,7995,
5666,2729,3445,
79,11145,11078,
8782,2438,3340,
3202,8138,8869,
3351,7084,6621,
3516,7536,7821,
5463,4010,4656,
664,10604,11010,
3207,7597,11495,
88,11084,11120,
1965,8835,8880,
6424,2598,3243,
2424,7364,8130,
3267,8308,7843,
2110,9184,9690,
540,10529,10170,
6747,1561,666,
6885,3351,4210,
4306,5126,4429,
7751,1239,1465,
4514,5187,5957,
363,10891,11191,
5683,4062,4244,
6680,1134,1681,
1732,9036,8584,
2366,8004,7748,
396,11328,10869,
7098,2036,2731,
3354,5983,6882,
6110,2725,2305,
5567,3274,4061,
3290,6255,6805,
2139,8032,8661,
7480,2238,1786,
6735,1226,527,
7216,432,544,
1102,9821,9626,
2490,8117,8123,
959,9676,10227,
7313,2909,3646,
735,10180,10475,
4809,4186,4523,
4107,7337,6693,
6264,2467,3044,
1218,9973,9580,
3124,7591,7127,
3874,5446,5943,
1346,9026,9658,
429,10549,11210,
2236,7905,8286,
1953,8491,8639,
7251,297,236,
5597,7139,5760,
5816,5066,3106,
6218,5186,4799,
1268,14194,10313,
5964,6979,5626,
5431,4277,3301,
1554,11437,10439,
6909,3865,2306,
1800,8129,8824,
1270,11586,10380,
5074,4427,4930,
6950,539,382,
274,15614,11352,
3713,5797,5750,
5880,3792,3348,
6068,3000,3699,
7560,1658,2456,
4522,4488,5221,
6406,2121,3023,
2707,7838,7539,
4492,5363,4963,
984,9289,10027,
1807,9232,8235,
5445,3555,3086,
542,10378,10638,
135,10920,11695,
7409,1841,846,
1175,10624,9791,
6933,5079,4633,
5283,4234,3823,
4412,5609,5200,
1890,8085,9839,
3808,5074,6687,
3967,4927,5675,
6188,1660,2435,
6310,3289,2941,
3869,6063,7089,
3832,7893,8590,
4303,7982,11383,
5829,4349,3928,
4350,5576,6457,
146,11782,13498,
4347,5369,4967,
5761,6061,9078,
6110,3922,3555,
5498,3731,5451,
5650,4632,3987,
609,11066,10600,
3243,7121,6950,
3054,7521,8092,
301,11178,10796,
2236,7966,9667,
2003,8546,9330,
3231,7498,6932,
4572,5179,4468,
3087,6456,7094,
1571,9399,8908,
2429,8526,8223,
4073,6997,7520,
1019,11742,11689,
4374,8046,8430,
4578,5111,4778,
920,9997,10029,
3251,6696,6452,
249,10816,10417,
649,10381,10327,
6205,2587,2151,
2799,7625,7588,
3095,7456,7165,
1024,10374,10752,
10416,1883,3276,
6728,3702,3261,
5484,5527,4606,
3816,5355,5888,
6761,3245,2800,
8422,4835,5276,
4742,6800,8749,
280,10383,11294,
3248,8053,7959,
3880,5658,6319,
1260,9877,9393,
2412,9120,10031,
5387,5429,3477,
3871,6773,6216,
2226,8041,8354,
4786,4939,4973,
2107,8343,8292,
7097,198,143,
5063,5319,7388,
1512,9344,8819,
2102,9756,9249,
4931,4122,3762,
2070,7851,8864,
